id,index,offset,BehaviorVariationId,AiThinkId,NameId,TurnVelocity,HitHeight,HitRadius,Weight,HitYOffset,Hp,Mp,GetSoul,ItemLotId_1,ItemLotId_2,ItemLotId_3,ItemLotId_4,ItemLotId_5,ItemLotId_6,HumanityLotId,SpEffectID0,SpEffectID1,SpEffectID2,SpEffectID3,SpEffectID4,SpEffectID5,SpEffectID6,SpEffectID7,GameClearSpEffectID,PhysGuardCutRate,MagGuardCutRate,FireGuardCutRate,ThunGuardCutRate,AnimIdOffset,MoveAnimId,SpMoveAnimId1,SpMoveAnimId2,NetworkWarpDist,DbgBehaviorR1,DbgBehaviorL1,DbgBehaviorR2,DbgBehaviorL2,DbgBehaviorRL,DbgBehaviorRR,DbgBehaviorRD,DbgBehaviorRU,DbgBehaviorLL,DbgBehaviorLR,DbgBehaviorLD,DbgBehaviorLU,AnimIdOffset2,PartsDamageRate1,PartsDamageRate2,PartsDamageRate3,PartsDamageRate4,PartsDamageRate5,PartsDamageRate6,PartsDamageRate7,PartsDamageRate8,WeakPartsDamageRate,SuperArmorRecoverCorrection,SuperArmorBrakeKnockbackDist,Stamina,StaminaRecoverBaseVel,Def_phys,Def_slash,Def_blow,Def_thrust,Def_mag,Def_fire,Def_thun,DefFlickPower,ResistPoison,ResistDisease,ResistBleed,ResistCurse,GhostModelId,NormalChangeResourceId,GuardAngle,SlashGuardCutRate,BlowGuardCutRate,ThrustGuardCutRate,SuperArmorDurability,NormalChangeTexChrId,DropType,KnockbackRate,KnockbackParamId,FallDamageDump,StaminaGuardDef,PcAttrB,PcAttrW,PcAttrL,PcAttrR,AreaAttrB,AreaAttrW,AreaAttrL,AreaAttrR,MpRecoverBaseVel,FlickDamageCutRate,DefaultLodParamId,DrawType,NpcType,TeamType,MoveType,LockDist,Material,MaterialSfx,Material_weak,MaterialSfx_weak,PartsDamageType,MaxUndurationAng,GuardLevel,BurnSfxType,PoisonGuardResist,DiseaseGuardResist,BloodGuardResist,CurseGuardResist,ParryAttack,ParryDefense,SfxSize,PushOutCamRegionRadius,HitStopType,LadderEndChkOffsetTop,LadderEndChkOffsetLow,BitFields0,BitFields1,BitFields2,BitFields3,BitFields4,Def_dark,Phys,Thrust,Strike,Slash,Magic,Fire,Lightning,Dark
0,0,18880,0,0,0,0,1.5,0.4,100,0,610,100,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1,1,1,1,1,1,1,1,1,1,0,50,18,100,0,0,0,100,100,100,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,-1,0,0,6,3,0,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,255,255,0,48,100,1,1,1,1,1,1,1,1
1,1,19460,0,0,0,120,1.5,0.4,100,0,610,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1,1,1,1,1,1,1,1,1,1,0,50,18,100,0,0,0,100,100,100,0,100,100,100,100,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,-1,0,0,6,3,0,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,48,100,1,1,1,1,1,1,1,1
10,2,20040,0,0,0,180,1.5,0.4,100,0,610,0,0,10,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1,1,1,1,1,1,1,1,3,1,0,50,18,100,0,0,0,100,100,100,0,100,100,100,100,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,-1,0,0,6,3,0,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,1,0,0,48,100,1,1,1,1,1,1,1,1
11,3,20620,0,0,0,180,1.5,0.4,100,0,610,0,0,10,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1,1,1,1,1,1,1,1,3,1,0,50,18,100,0,0,0,100,100,100,0,100,100,100,100,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,-1,0,0,6,3,0,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,1,0,0,48,100,1,1,1,1,1,1,1,1
12,4,21200,0,0,0,180,1.5,0.4,100,0,610,0,0,10,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1,1,1,1,1,1,1,1,3,1,0,50,18,100,0,0,0,100,100,100,0,100,100,100,100,-1,-1,0,0,0,0,0,-1,1,0,0,75,0,0,0,0,0,0,0,0,0,10,0,-1,0,0,6,3,0,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,1,0,0,48,100,1,1,1,1,1,1,1,1
100,5,21780,0,0,0,120,1.5,0.4,100,0,610,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1,1,1,1,1,1,1,1,1,1,0,50,18,100,0,0,0,100,100,100,0,100,100,100,100,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,-1,0,0,6,3,0,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,48,100,1,1,1,1,1,1,1,1
540,6,22360,0,0,0,120,1.5,0.4,100,0,610,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1,1,1,1,1,1,1,1,1,1,0,50,18,100,0,0,0,100,100,100,0,100,100,100,100,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,-1,0,0,6,3,0,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,48,100,1,1,1,1,1,1,1,1
541,7,22940,0,0,0,120,1.5,0.4,100,0,610,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1,1,1,1,1,1,1,1,1,1,0,50,18,100,0,0,0,100,100,100,0,100,100,100,100,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,-1,0,0,6,3,0,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,48,100,1,1,1,1,1,1,1,1
542,8,23520,0,0,0,120,1.5,0.4,100,0,610,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1,1,1,1,1,1,1,1,1,1,0,50,18,100,0,0,0,100,100,100,0,100,100,100,100,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,-1,0,0,6,3,0,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,48,100,1,1,1,1,1,1,1,1
10000,9,24100,1000,0,0,120,1.9,0.4,100,0,60939,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,80000,71100,0,0,0,0,0,0,0,0,0,16,3000,3001,3002,3003,3004,3005,3006,3007,702,703,701,700,0,1,1,1,1,1,1,1,1,1,1,0,50,18,100,0,0,0,100,100,100,0,999,999,999,999,-1,-1,0,0,0,0,0,-1,0,0,0,75,0,0,0,0,0,0,0,0,0,10,0,11,0,0,30,3,0,110,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,16,100,1,1,1,1,1,1,1,1
